iso3,glottocode,parallel_score,n_pairs_total,total_sent_pairs,n_corpora
ppr,piru,0.0,0,0,0
myq,forest maninka,0.0,0,0,0
lnb,central wambo,0.0,0,0,0
wmo,wom (papua new guinea),0.0,0,0,0
xkh,karahawyana,0.0,0,0,0
mqt,mok,0.0,0,0,0
aup,makayam,0.0,0,0,0
wdk,wadikali,0.0,0,0,0
ssu,susuami,0.0,0,0,0
sni,sensi,0.0,0,0,0
xcy,cayuse,0.0,0,0,0
tiz,tai hongjin,0.0,0,0,0
tmq,tumleo,0.0,0,0,0
bml,bomboli-bozaba,0.0,0,0,0
nef,nefamese,0.0,0,0,0
rgk,rangkas,0.0,0,0,0
bpb,barbacoas,0.0,0,0,0
okc,ikumbure,0.0,0,0,0
mlx,na'ahai,0.0,0,0,0
piz,pije,0.0,0,0,0
otu,otuke,0.0,0,0,0
mku,konyanka maninka,0.0,0,0,0
ags,esimbi,0.0,0,0,0
kuv,kur,0.0,0,0,0
xyb,yandjibara,0.0,0,0,0
blf,buol,0.0,0,0,0
ywa,kalou,0.0,0,0,0
uni,uni,0.0,0,0,0
aif,agi,0.0,0,0,0
nne,ngandyera,0.0,0,0,0
pgs,pangseng,0.0,0,0,0
mcy,south watut,0.0,0,0,0
glb,belneng,0.0,0,0,0
xhm,middle khmer,0.0,0,0,0
ler,lenkau,0.0,0,0,0
bpo,anasi,0.0,0,0,0
dbv,dungu,0.0,0,0,0
mxh,mvuba,0.0,0,0,0
xrt,aranama,0.0,0,0,0
dmc,gavak,0.0,0,0,0
nxx,nafri,0.0,0,0,0
uro,ura (papua new guinea),0.0,0,0,0
fll,north fali,0.0,0,0,0
tvm,tela-masbuar,0.0,0,0,0
pcr,panang,0.0,0,0,0
ffi,foia foia,0.0,0,0,0
hrr,horuru,0.0,0,0,0
tyu,southern tshwa,0.0,0,0,0
kqu,vaal-orange,0.0,0,0,0
kci,kamantan,0.0,0,0,0
gmx,magoma,0.0,0,0,0
igo,isebe,0.0,0,0,0
lso,laos sign language,0.0,0,0,0
hhr,keerak,0.0,0,0,0
pnv,pinigura,0.0,0,0,0
pwr,powari,0.0,0,0,0
rsb,serbo-bosnian vlax,0.0,0,0,0
nmj,ngombe (central african republic),0.0,0,0,0
btj,bacanese malay,0.0,0,0,0
gok,gowli,0.0,0,0,0
bxu,china buriat,0.0,0,0,0
vum,vumbu,0.0,0,0,0
bro,dur brokkat,0.0,0,0,0
yms,mysian,0.0,0,0,0
tvt,tutsa naga,0.0,0,0,0
twr,southwestern tarahumara,0.0,0,0,0
wil,wilawila,0.0,0,0,0
bkx,baikeno,0.0,0,0,0
cdh,chambeali,0.0,0,0,0
swq,sharwa,0.0,0,0,0
hov,hobongan,0.0,0,0,0
nea,eastern ngad'a,0.0,0,0,0
nis,nimi,0.0,0,0,0
luk,lunanakha,0.0,0,0,0
agf,arguni,0.0,0,0,0
ccl,cutchi-swahili,0.0,0,0,0
xpl,port sorell,0.0,0,0,0
trz,torá,0.0,0,0,0
xoi,kominimung,0.0,0,0,0
atc,atsahuaca,0.0,0,0,0
bpi,bagupi,0.0,0,0,0
mfd,mendankwe-nkwen,0.0,0,0,0
wwr,warrwa,0.0,0,0,0
jmi,jimi (nigeria),0.0,0,0,0
acz,acheron,0.0,0,0,0
npu,puimei naga,0.0,0,0,0
xwk,wangkumara,0.0,0,0,0
hma,southern mashan hmong,0.0,0,0,0
dro,daro-matu melanau,0.0,0,0,0
mdo,southwest gbaya (retired),0.0,0,0,0
mvs,massep,0.0,0,0,0
mgb,mararit,0.0,0,0,0
kts,south muyu,0.0,0,0,0
tlk,taloki,0.0,0,0,0
pof,poke,0.0,0,0,0
bgv,warkay-bipim,0.0,0,0,0
kow,gengle-kugama,0.0,0,0,0
brp,barapasi,0.0,0,0,0
kqm,khisa,0.0,0,0,0
gne,ganang,0.0,0,0,0
cuw,chukwa,0.0,0,0,0
mws,mwimbi-muthambi,0.0,0,0,0
vmh,maraghei,0.0,0,0,0
zna,zan gula,0.0,0,0,0
gly,gule,0.0,0,0,0
fah,baissa fali,0.0,0,0,0
mzx,mawayana,0.0,0,0,0
kkq,kaiku,0.0,0,0,0
bhv,bahau,0.0,0,0,0
xoo,xukurú,0.0,0,0,0
nuh,ndunda,0.0,0,0,0
irr,ir,0.0,0,0,0
kel,kela (democratic republic of congo),0.0,0,0,0
sjk,kemi saami,0.0,0,0,0
azr,adzera (retired),0.0,0,0,0
kzs,sugut dusun,0.0,0,0,0
bqk,banda-mbrès,0.0,0,0,0
bgi,giangan,0.0,0,0,0
nns,ningye,0.0,0,0,0
gmo,gamo-gofa-dawro,0.0,0,0,0
anr,andh,0.0,0,0,0
yif,ache,0.0,0,0,0
mpy,mapia,0.0,0,0,0
sik,sikiana,0.0,0,0,0
hva,"huastec, san luís potosí",0.0,0,0,0
pgk,rerep,0.0,0,0,0
bzl,boano (sulawesi),0.0,0,0,0
tpq,kuno-charang,0.0,0,0,0
brk,birked,0.0,0,0,0
ljw,yirandhali,0.0,0,0,0
oyy,oya'oya,0.0,0,0,0
sej,sene,0.0,0,0,0
kco,kinalakna,0.0,0,0,0
cbo,izora,0.0,0,0,0
nqg,ede nago,0.0,0,0,0
sdm,onya darat,0.0,0,0,0
ldg,lenyima,0.0,0,0,0
mrm,merlav,0.0,0,0,0
tvd,tsuvadi,0.0,0,0,0
trm,tregami,0.0,0,0,0
xss,assan,0.0,0,0,0
asy,yaosakor asmat,0.0,0,0,0
okx,okpe (northwestern edo),0.0,0,0,0
mwh,mouk-aria,0.0,0,0,0
xmq,kuku-mangk,0.0,0,0,0
bdz,badeshi,0.0,0,0,0
wre,ware,0.0,0,0,0
acs,acroá,0.0,0,0,0
alx,mol,0.0,0,0,0
sys,sinyar,0.0,0,0,0
tmx,tomyang,0.0,0,0,0
scx,sicula,0.0,0,0,0
onk,kabore one,0.0,0,0,0
rge,romano-greek,0.0,0,0,0
ngq,ngoreme,0.0,0,0,0
tgq,tring,0.0,0,0,0
deh,dehwari,0.0,0,0,0
sjg,assangori,0.0,0,0,0
ilk,ilongot,0.0,0,0,0
nqy,akyaung ari naga,0.0,0,0,0
gio,gelao,0.0,0,0,0
gnt,warta thuntai,0.0,0,0,0
bbx,bubia,0.0,0,0,0
ekm,elip,0.0,0,0,0
mrp,ande,0.0,0,0,0
kwh,kowiai,0.0,0,0,0
kse,kuni,0.0,0,0,0
ado,abu,0.0,0,0,0
mre,martha's vineyard sign language,0.0,0,0,0
saw,sawi,0.0,0,0,0
jim,jimi (cameroon),0.0,0,0,0
itx,itik,0.0,0,0,0
tdq,tita,0.0,0,0,0
aab,arum,0.0,0,0,0
lei,lemio,0.0,0,0,0
ngv,nagumi,0.0,0,0,0
thx,the,0.0,0,0,0
wai,wares,0.0,0,0,0
uks,urubú-kaapor sign language,0.0,0,0,0
xbe,bigambal,0.0,0,0,0
ome,omejes,0.0,0,0,0
ahe,ahe,0.0,0,0,0
njl,njalgulgule,0.0,0,0,0
mru,mono (cameroon),0.0,0,0,0
nbb,ndoe,0.0,0,0,0
bry,burui,0.0,0,0,0
lib,likum,0.0,0,0,0
kvz,tsaukambo,0.0,0,0,0
niz,ningil,0.0,0,0,0
kkf,kalaktang monpa,0.0,0,0,0
bzf,boikin,0.0,0,0,0
kax,kao,0.0,0,0,0
nuq,nukumanu,0.0,0,0,0
api,apiaká,0.0,0,0,0
kec,keiga,0.0,0,0,0
gie,gabogbo,0.0,0,0,0
grv,central grebo,0.0,0,0,0
tis,masadiit itneg,0.0,0,0,0
lii,lingkhim,0.0,0,0,0
ukw,ukwuani-aboh-ndoni,0.0,0,0,0
mxr,murik (malaysia),0.0,0,0,0
ggr,aghu tharnggalu,0.0,0,0,0
oub,glio-oubi,0.0,0,0,0
thw,thudam,0.0,0,0,0
lni,daantanai',0.0,0,0,0
oyd,oyda,0.0,0,0,0
xjt,jaitmatang,0.0,0,0,0
waz,wampur,0.0,0,0,0
mpv,mungkip,0.0,0,0,0
kzl,kayeli,0.0,0,0,0
nnd,west ambae,0.0,0,0,0
kko,karko,0.0,0,0,0
vem,vemgo-mabas,0.0,0,0,0
bwy,cwi bwamu,0.0,0,0,0
btu,batu,0.0,0,0,0
rui,rufiji,0.0,0,0,0
bir,bisorio,0.0,0,0,0
ahp,aproumu aizi,0.0,0,0,0
ikp,ikpeshi,0.0,0,0,0
ndn,ngundi,0.0,0,0,0
hiw,hiw,0.0,0,0,0
xku,kaamba,0.0,0,0,0
ngs,gvoko,0.0,0,0,0
ssq,central ngada,0.0,0,0,0
emu,eastern muria,0.0,0,0,0
kds,lahu shi (retired),0.0,0,0,0
mvr,marau,0.0,0,0,0
trj,toram,0.0,0,0,0
soi,sonha,0.0,0,0,0
bhx,bhalay,0.0,0,0,0
kyl,central kalapuya,0.0,0,0,0
axe,ayerrerenge,0.0,0,0,0
lwu,lawu,0.0,0,0,0
bqw,buru-angwe,0.0,0,0,0
brz,bilibil,0.0,0,0,0
kul,kulere,0.0,0,0,0
pch,pardhan,0.0,0,0,0
dor,dori'o,0.0,0,0,0
lmh,lambichhong,0.0,0,0,0
bxs,busam,0.0,0,0,0
mma,mama,0.0,0,0,0
ppt,pare,0.0,0,0,0
mbk,malol,0.0,0,0,0
qwm,cuman,0.0,0,0,0
kch,vono,0.0,0,0,0
tsr,akei,0.0,0,0,0
nht,ometepec nahuatl,0.0,0,0,0
mvl,mbara-yanga,0.0,0,0,0
spr,saparua,0.0,0,0,0
nsl,norwegian sign language,0.0,0,0,0
stj,matya samo,0.0,0,0,0
dwl,walo kumbe dogon,0.0,0,0,0
inn,isinai,0.0,0,0,0
geq,geme,0.0,0,0,0
bmy,bemba (democratic republic of congo),0.0,0,0,0
afs,afro-seminole creole,0.0,0,0,0
lmb,merei,0.0,0,0,0
rgs,southern roglai,0.0,0,0,0
ide,idere,0.0,0,0,0
ght,kutang ghale,0.0,0,0,0
ygw,yagwoia,0.0,0,0,0
kqt,klias river kadazan,0.0,0,0,0
lrm,marama,0.0,0,0,0
khp,kapori,0.0,0,0,0
jmn,makuri naga,0.0,0,0,0
obi,obispeño,0.0,0,0,0
tbs,tanguat,0.0,0,0,0
lws,malawian sign language,0.0,0,0,0
smc,som,0.0,0,0,0
emw,emplawas,0.0,0,0,0
nfu,southern mfumte,0.0,0,0,0
tux,tuxináwa,0.0,0,0,0
dnk,dengka,0.0,0,0,0
vlr,vatrata,0.0,0,0,0
vmo,muko-muko,0.0,0,0,0
ekl,kol (bangladesh),0.0,0,0,0
ssj,sausi,0.0,0,0,0
bgl,bo-maleng,0.0,0,0,0
baa,babatana,0.0,0,0,0
vmu,muluridyi,0.0,0,0,0
bgh,bugan (retired),0.0,0,0,0
sca,sansu,0.0,0,0,0
hib,hibito,0.0,0,0,0
vwa,lavia-awalai-damangnuo awa,0.0,0,0,0
kqh,kisankasa,0.0,0,0,0
ybo,yabong,0.0,0,0,0
ije,biseni,0.0,0,0,0
spd,saep,0.0,0,0,0
gab,gabri,0.0,0,0,0
hhi,hoia hoia-ukusi-koperami,0.0,0,0,0
wkb,kumbaran,0.0,0,0,0
spi,saponi,0.0,0,0,0
wtw,wotu,0.0,0,0,0
pnc,pannei,0.0,0,0,0
gry,barclayville grebo,0.0,0,0,0
ksm,kumba,0.0,0,0,0
xsj,subi,0.0,0,0,0
btf,birgit,0.0,0,0,0
pur,puruborá,0.0,0,0,0
kxy,kayong,0.0,0,0,0
bhe,bhaya,0.0,0,0,0
kly,kalao,0.0,0,0,0
idc,idon,0.0,0,0,0
dwk,dawik kui,0.0,0,0,0
dyb,dyaberdyaber,0.0,0,0,0
zbt,batui,0.0,0,0,0
ggw,gogodala,0.0,0,0,0
zkb,samoyed koibal,0.0,0,0,0
klm,kolom,0.0,0,0,0
uss,western duka,0.0,0,0,0
lrv,larevat,0.0,0,0,0
muj,mabire,0.0,0,0,0
snu,senggi,0.0,0,0,0
smg,simbali,0.0,0,0,0
aod,andarum,0.0,0,0,0
txe,totoli,0.0,0,0,0
xkr,xakriabá,0.0,0,0,0
jah,jah hut,0.0,0,0,0
xhr,hernican,0.0,0,0,0
bly,notre,0.0,0,0,0
efa,efai,0.0,0,0,0
arf,arafundi,0.0,0,0,0
cxh,chaari,0.0,0,0,0
lop,lopa,0.0,0,0,0
kvs,kunggara,0.0,0,0,0
koz,korak,0.0,0,0,0
wms,wambon,0.0,0,0,0
jei,yei,0.0,0,0,0
wru,waru,0.0,0,0,0
prw,parawen,0.0,0,0,0
ilu,ili'uun,0.0,0,0,0
ufi,ufim,0.0,0,0,0
ktf,kwami,0.0,0,0,0
acp,eastern acipa,0.0,0,0,0
wsr,oweina,0.0,0,0,0
zah,zangwal,0.0,0,0,0
ehs,miyakubo sign language,0.0,0,0,0
yxg,yagara,0.0,0,0,0
kov,kudu-camo,0.0,0,0,0
wea,wewaw,0.0,0,0,0
bsm,busami,0.0,0,0,0
xbn,kenaboi,0.0,0,0,0
drn,west damar,0.0,0,0,0
luj,luna,0.0,0,0,0
kgm,karipuna do amapa,0.0,0,0,0
fak,fang (cameroon),0.0,0,0,0
yma,yamphe,0.0,0,0,0
aof,bragat,0.0,0,0,0
dio,dibo,0.0,0,0,0
mnu,mer,0.0,0,0,0
ssv,ngen,0.0,0,0,0
quu,"k'iche', eastern",0.0,0,0,0
ljx,yuru,0.0,0,0,0
tas,tay boi,0.0,0,0,0
bwb,namosi-naitasiri-serua,0.0,0,0,0
cqd,chuanqiandian cluster miao,0.0,0,0,0
mlf,mal,0.0,0,0,0
gpa,gupa,0.0,0,0,0
akn,amikoana,0.0,0,0,0
job,joba,0.0,0,0,0
avi,avikam,0.0,0,0,0
wrd,warduji,0.0,0,0,0
bvk,bukat,0.0,0,0,0
pmc,palumata,0.0,0,0,0
okb,okobo,0.0,0,0,0
mft,mokerang,0.0,0,0,0
lgh,laghuu,0.0,0,0,0
gds,ghandruk sign language,0.0,0,0,0
tdo,teme,0.0,0,0,0
xtw,tawandê,0.0,0,0,0
yzg,e'ma buyang,0.0,0,0,0
goc,gorakor,0.0,0,0,0
zln,lianshan zhuang,0.0,0,0,0
ssz,sengseng,0.0,0,0,0
kjy,erave,0.0,0,0,0
kfj,kemiehua,0.0,0,0,0
jvd,javindo,0.0,0,0,0
all,allar,0.0,0,0,0
gip,gimi (west new britain),0.0,0,0,0
llh,lamu,0.0,0,0,0
nyr,nyiha (malawi),0.0,0,0,0
tgr,tareng,0.0,0,0,0
dgx,doghoro,0.0,0,0,0
xab,sambe,0.0,0,0,0
wku,kunduvadi,0.0,0,0,0
tzh,tzeltal,0.0,0,0,0
ayg,ginyanga,0.0,0,0,0
hkn,mel-khaonh,0.0,0,0,0
gwg,moo,0.0,0,0,0
cpn,cherepon,0.0,0,0,0
alm,amblong,0.0,0,0,0
liz,libinza,0.0,0,0,0
suo,bouni-bobe,0.0,0,0,0
rem,remo of the moa river,0.0,0,0,0
enw,enwan (akwa ibom state),0.0,0,0,0
kyy,kambaira,0.0,0,0,0
stc,natügu (retired),0.0,0,0,0
gac,mixed great andamanese,0.0,0,0,0
gas,adiwasi garasia,0.0,0,0,0
aeq,aer,0.0,0,0,0
tma,tama (chad),0.0,0,0,0
pie,piro,0.0,0,0,0
tot,patla-chicontla totonac,0.0,0,0,0
wnk,wanukaka,0.0,0,0,0
urv,uruava,0.0,0,0,0
bge,bauria,0.0,0,0,0
tuj,tugutil,0.0,0,0,0
bhq,tukang besi south,0.0,0,0,0
uly,buli (bauchi state),0.0,0,0,0
uiv,iyive,0.0,0,0,0
dmu,dubu,0.0,0,0,0
wtf,dumpu,0.0,0,0,0
agl,fembe,0.0,0,0,0
huj,northern guiyang hmong,0.0,0,0,0
okg,koko babangk,0.0,0,0,0
lox,loun,0.0,0,0,0
uha,uhami,0.0,0,0,0
zka,kaimbulawa,0.0,0,0,0
sxm,samre of siem reap,0.0,0,0,0
aub,alugu,0.0,0,0,0
scu,shumcho,0.0,0,0,0
kcz,konongo-ruwila,0.0,0,0,0
ayq,ayi (papua new guinea),0.0,0,0,0
act,achterhoeks,0.0,0,0,0
tht,tahltan,0.0,0,0,0
kxz,kerewo,0.0,0,0,0
mvx,meoswar,0.0,0,0,0
paf,paranawát,0.0,0,0,0
bga,gwamhi-wuri,0.0,0,0,0
brw,bellari,0.0,0,0,0
ysl,yugoslavian sign language,0.0,0,0,0
qub,huallaga huánuco quechua,0.0,0,0,0
kym,kpatili,0.0,0,0,0
gui,eastern bolivian guaraní,0.0,0,0,0
ngx,nggwahyi,0.0,0,0,0
jaj,zazao,0.0,0,0,0
bkp,boko (democratic republic of congo),0.0,0,0,0
vmx,tamazola mixtec,0.0,0,0,0
pna,punan bah-biau,0.0,0,0,0
lkr,päri,0.0,0,0,0
bkn,bukitan,0.0,0,0,0
ypz,phuza,0.0,0,0,0
aaq,eastern abenaki,0.0,0,0,0
mro,mru,0.0,0,0,0
mbn,hitnu,0.0,0,0,0
ash,aewa,0.0,0,0,0
try,turung,0.0,0,0,0
dbp,duwai,0.0,0,0,0
kvl,brek karen,0.0,0,0,0
skw,skepi creole dutch,0.0,0,0,0
elo,el molo,0.0,0,0,0
hrc,niwer mil,0.0,0,0,0
xod,kokoda,0.0,0,0,0
nwa,nawathinehena,0.0,0,0,0
noq,ngongo,0.0,0,0,0
nuw,nguluwan,0.0,0,0,0
wan,wan,0.0,0,0,0
xrw,karawa,0.0,0,0,0
aqm,atohwaim,0.0,0,0,0
bnu,bentong,0.0,0,0,0
sbv,sabine,0.0,0,0,0
int,intha-danu,0.0,0,0,0
sgu,salas,0.0,0,0,0
imr,imroing,0.0,0,0,0
aww,auwon,0.0,0,0,0
sym,maya samo,0.0,0,0,0
lnj,linngithigh,0.0,0,0,0
rmi,lomavren,0.0,0,0,0
xpn,kapinawá,0.0,0,0,0
mmi,hember avu,0.0,0,0,0
kve,kalabakan,0.0,0,0,0
adp,adap,0.0,0,0,0
xkc,kho'ini,0.0,0,0,0
sqn,susquehannock,0.0,0,0,0
zak,zanaki,0.0,0,0,0
vit,viti,0.0,0,0,0
tni,tandia,0.0,0,0,0
kuc,kwinsu,0.0,0,0,0
kuk,kepo',0.0,0,0,0
zrn,zirenkel,0.0,0,0,0
ytp,thopho,0.0,0,0,0
lcs,lisabata-nuniali,0.0,0,0,0
pth,pataxó hã-ha-hãe,0.0,0,0,0
aaf,aranadan,0.0,0,0,0
rzh,jabal razih,0.0,0,0,0
ykl,khlula,0.0,0,0,0
djw,djawi,0.0,0,0,0
tve,te'un,0.0,0,0,0
nmr,nimbari,0.0,0,0,0
btl,bhatola,0.0,0,0,0
oti,oti,0.0,0,0,0
mgk,mawes,0.0,0,0,0
seg,segeju,0.0,0,0,0
nej,neko,0.0,0,0,0
mlb,mbule,0.0,0,0,0
mry,mandaya,0.0,0,0,0
dbn,duriankere,0.0,0,0,0
nce,yale,0.0,0,0,0
nwe,ngwe,0.0,0,0,0
zpr,santiago xanica zapotec,0.0,0,0,0
byp,bumaji,0.0,0,0,0
kzt,tambunan dusun,0.0,0,0,0
gwj,/gwi,0.0,0,0,0
mzu,itutang-inapang,0.0,0,0,0
aks,akaselem,0.0,0,0,0
csd,chiangmai sign language,0.0,0,0,0
iar,purari,0.0,0,0,0
bey,beli (papua new guinea),0.0,0,0,0
xip,xipináwa,0.0,0,0,0
blg,balau,0.0,0,0,0
cke,"kaqchikel, eastern",0.0,0,0,0
ass,ipulo-olulu,0.0,0,0,0
xay,kayan mahakam,0.0,0,0,0
pnx,phong-kniang,0.0,0,0,0
ajw,ajawa,0.0,0,0,0
xpq,pequot-mohegan,0.0,0,0,0
bwp,mandobo bawah,0.0,0,0,0
dho,dhodia-kukna,0.0,0,0,0
bfp,beba,0.0,0,0,0
tgd,ciwogai,0.0,0,0,0
jcs,jamaican country sign language,0.0,0,0,0
yec,yeniche,0.0,0,0,0
sls,singapore sign language,0.0,0,0,0
bsa,abinomn,0.0,0,0,0
tmz,tamanaku,0.0,0,0,0
ckq,kajakse,0.0,0,0,0
skj,seke (nepal),0.0,0,0,0
swf,sere,0.0,0,0,0
xcg,cisalpine gaulish,0.0,0,0,0
nzk,nzakara,0.0,0,0,0
mce,itundujia mixtec,0.0,0,0,0
nsf,far northwestern nisu,0.0,0,0,0
klf,kendeje,0.0,0,0,0
cia,cia-cia,0.0,0,0,0
naa,namla,0.0,0,0,0
msx,moresada,0.0,0,0,0
mtw,southern binukidnon,0.0,0,0,0
pnz,pana (central african republic),0.0,0,0,0
epi,epie,0.0,0,0,0
wyu,,0.0,0,0,0
kyr,kuruáya,0.0,0,0,0
hor,horo,0.0,0,0,0
cfg,como karim,0.0,0,0,0
koj,sara dunjo,0.0,0,0,0
xyt,mayi-thakurti,0.0,0,0,0
jus,jumla sign language,0.0,0,0,0
klz,kabola,0.0,0,0,0
mlj,miltu,0.0,0,0,0
tzx,tabriak,0.0,0,0,0
tlg,tofanma,0.0,0,0,0
twf,taos northern tiwa,0.0,0,0,0
ntw,nottoway,0.0,0,0,0
khf,khuen,0.0,0,0,0
snz,kou,0.0,0,0,0
mqu,mandari,0.0,0,0,0
krn,sapo,0.0,0,0,0
tld,talaud,0.0,0,0,0
pwo,pwo western karen,0.0,0,0,0
lku,kuungkari of barcoo river,0.0,0,0,0
onn,onobasulu,0.0,0,0,0
zlj,liujiang zhuang,0.0,0,0,0
xtz,tasmanian,0.0,0,0,0
frq,forak,0.0,0,0,0
huk,hulung,0.0,0,0,0
bsl,basa-gumna,0.0,0,0,0
cah,cahuarano,0.0,0,0,0
urx,urimo,0.0,0,0,0
lzn,leinong naga,0.0,0,0,0
ccr,cacaopera,0.0,0,0,0
ckx,caka,0.0,0,0,0
shw,shwai,0.0,0,0,0
cbh,cagua,0.0,0,0,0
suf,sufrai,0.0,0,0,0
mtk,mbe',0.0,0,0,0
umi,ukit,0.0,0,0,0
quh,south bolivian quechua,0.0,0,0,0
huf,humene,0.0,0,0,0
auw,awyi,0.0,0,0,0
twq,tasawaq,0.0,0,0,0
jeg,jeng,0.0,0,0,0
kgj,gamale kham,0.0,0,0,0
mts,yora,0.0,0,0,0
wnn,wunumara,0.0,0,0,0
rei,reli,0.0,0,0,0
grx,guriaso,0.0,0,0,0
adr,adonara,0.0,0,0,0
sre,sara bakati',0.0,0,0,0
bnl,boon,0.0,0,0,0
lbv,lavatbura-lamusong,0.0,0,0,0
ysp,southern lolopo,0.0,0,0,0
kjt,phrae pwo karen,0.0,0,0,0
kuf,western katu,0.0,0,0,0
biy,birhor,0.0,0,0,0
jub,wannu,0.0,0,0,0
kli,kalumpang,0.0,0,0,0
beg,lemeting,0.0,0,0,0
xat,katawixi,0.0,0,0,0
dul,alabat island agta,0.0,0,0,0
cbb,cabiyarí,0.0,0,0,0
krd,kairui-midiki,0.0,0,0,0
gra,rajput garasia,0.0,0,0,0
kvp,kompane,0.0,0,0,0
pob,"poqomchi', western",0.0,0,0,0
mnn,southern mnong,0.0,0,0,0
rbp,barababaraba,0.0,0,0,0
waa,northeast sahaptin,0.0,0,0,0
scf,san miguel creole french,0.0,0,0,0
kth,karanga,0.0,0,0,0
mzf,aiku,0.0,0,0,0
amj,amdang,0.0,0,0,0
jms,mashi (nigeria),0.0,0,0,0
lba,lui,0.0,0,0,0
zpn,santa inés yatzechi zapotec,0.0,0,0,0
tfi,tofin gbe,0.0,0,0,0
ccd,cafundo,0.0,0,0,0
yxm,yinwum,0.0,0,0,0
xgr,garza,0.0,0,0,0
aee,northeast pashayi,0.0,0,0,0
kgt,somyev,0.0,0,0,0
sgo,songa,0.0,0,0,0
pii,pini,0.0,0,0,0
lra,rara bakati',0.0,0,0,0
kdy,keder,0.0,0,0,0
aps,arop-sissano,0.0,0,0,0
mmm,maii,0.0,0,0,0
zne,zande,0.0,0,0,0
lpe,lepki,0.0,0,0,0
fln,flinders island,0.0,0,0,0
mrk,hmwaveke,0.0,0,0,0
mgj,abureni,0.0,0,0,0
bow,rema,0.0,0,0,0
zmt,maringarr,0.0,0,0,0
jbi,badjirri,0.0,0,0,0
tpg,kula (indonesia),0.0,0,0,0
oni,onin,0.0,0,0,0
omi,omi,0.0,0,0,0
kil,kariya,0.0,0,0,0
boy,bodo (central african republic),0.0,0,0,0
tzb,"tzeltal, bachajón",0.0,0,0,0
wyr,wayoró,0.0,0,0,0
xkf,khengkha,0.0,0,0,0
svr,savara,0.0,0,0,0
knu,kono (guinea),0.0,0,0,0
zcd,las delicias zapotec,0.0,0,0,0
dax,dayi,0.0,0,0,0
jmr,kamara,0.0,0,0,0
tbd,kaki ae,0.0,0,0,0
ost,osatu,0.0,0,0,0
goq,gorap,0.0,0,0,0
dau,dar sila daju,0.0,0,0,0
grz,guramalum,0.0,0,0,0
blj,bolongan,0.0,0,0,0
xul,ngunawal,0.0,0,0,0
kng,south-central koongo,0.0,0,0,0
tgv,tingui-boto,0.0,0,0,0
ztm,san agustín mixtepec zapotec,0.0,0,0,0
xtb,chazumba mixtec,0.0,0,0,0
kiv,kimbu,0.0,0,0,0
bqr,burusu,0.0,0,0,0
frk,old frankish,0.0,0,0,0
yar,yabarana,0.0,0,0,0
coj,cochimi,0.0,0,0,0
tse,tunisian sign language,0.0,0,0,0
lcl,lisela,0.0,0,0,0
xpi,pictish,0.0,0,0,0
tmk,northwestern tamang,0.0,0,0,0
ymc,southern muji,0.0,0,0,0
tbu,tubar,0.0,0,0,0
jow,jowulu,0.0,0,0,0
rie,rien,0.0,0,0,0
gnl,gangulu,0.0,0,0,0
nom,nocamán,0.0,0,0,0
itd,southern tidung,0.0,0,0,0
vig,viemo,0.0,0,0,0
agi,agariya,0.0,0,0,0
lrz,lemerig,0.0,0,0,0
ywm,wumeng yi,0.0,0,0,0
pml,mediterranean lingua franca,0.0,0,0,0
ztc,lachirioag zapotec,0.0,0,0,0
lgz,ligenza,0.0,0,0,0
smq,samo,0.0,0,0,0
yna,aluo,0.0,0,0,0
ilm,sabah iranun,0.0,0,0,0
keh,keak,0.0,0,0,0
dka,dakpakha,0.0,0,0,0
six,sumau,0.0,0,0,0
opa,okpamheri,0.0,0,0,0
gza,ganza,0.0,0,0,0
tzc,"tzotzil, chamula",0.0,0,0,0
utu,utu,0.0,0,0,0
bkf,beeke,0.0,0,0,0
pop,pwapwa,0.0,0,0,0
dbr,dabarre,0.0,0,0,0
ssr,swiss-french sign language,0.0,0,0,0
kav,katukína,0.0,0,0,0
ynh,yangho,0.0,0,0,0
swm,samosa,0.0,0,0,0
kfh,kurichiya,0.0,0,0,0
aam,aramanik,0.0,0,0,0
mmz,mabaale,0.0,0,0,0
ntd,northern tidung,0.0,0,0,0
lsr,srenge,0.0,0,0,0
yxl,yardliyawarra,0.0,0,0,0
dgd,dagaari dioula,0.0,0,0,0
ulf,usku,0.0,0,0,0
prd,parsi-dari,0.0,0,0,0
nda,ndasa,0.0,0,0,0
tpx,acatepec me'phaa,0.0,0,0,0
gdk,gadang,0.0,0,0,0
knz,kalamsé,0.0,0,0,0
ibr,ibuoro,0.0,0,0,0
zax,xadani zapotec,0.0,0,0,0
slw,sialum,0.0,0,0,0
xsn,sanga (nigeria),0.0,0,0,0
pef,northeastern russian river pomo,0.0,0,0,0
tey,tulishi,0.0,0,0,0
ymz,muzi,0.0,0,0,0
mko,mingang doso,0.0,0,0,0
kyv,kayort,0.0,0,0,0
pnd,mpinda,0.0,0,0,0
hya,hya,0.0,0,0,0
bmp,bulgebi,0.0,0,0,0
sib,sebop,0.0,0,0,0
jgb,ngbee,0.0,0,0,0
nsg,ngasa,0.0,0,0,0
lls,lithuanian sign language,0.0,0,0,0
idi,idi-taeme,0.0,0,0,0
yyu,yau (sandaun province),0.0,0,0,0
nnn,ngete,0.0,0,0,0
diy,diuwe,0.0,0,0,0
kku,tumi,0.0,0,0,0
jil,jilim,0.0,0,0,0
